Target Language,Model Stage,Model Name,BLEU Score,METEOR Score,BLEU-1,BLEU-2,BLEU-3,BLEU-4,Brevity Penalty,Translation Length,Reference Length,Length Ratio
cebuano,pretrained,Cebuano - Pretrained NLLB-200,26.27300914992471,0.5414555535958783,60.201384518565135,33.08411214953271,19.98578535891969,12.127659574468085,0.99673285036007,7945,7971,0.9967381758875925
cebuano,baseline,Cebuano - Baseline,29.21823867218491,0.5734997258535616,62.81242110578137,36.26623811436989,22.80376497432972,14.381576940674089,0.9938337828903299,7922,7971,0.9938527160958475
cebuano,experimental_stage1,Cebuano - Experimental Stage 1,25.045634977264577,0.5298938687090962,61.872819962436274,33.90484354907844,20.232273838630807,12.235178190179012,0.9329919245177531,7454,7971,0.9351398820725129
cebuano,experimental_stage2,Cebuano - Experimental Stage 2,29.422558152984852,0.5743967950091531,62.522068095838584,36.48160535117057,23.034188034188034,14.562071591774561,0.9948431030874119,7930,7971,0.9948563542842805
waray,pretrained,Waray - Pretrained NLLB-200,20.93190174152458,0.45671783184365866,52.04792761951339,25.80269290523045,15.07772733525932,9.480481361901967,1.0,8179,7960,1.0275125628140704
waray,baseline,Waray - Baseline,27.898078671610218,0.5264390705676973,60.35133376707873,34.93775933609958,22.28782287822878,14.873417721518987,0.9648486833132485,7685,7960,0.9654522613065326
waray,experimental_stage1,Waray - Experimental Stage 1,21.263418419911776,0.4618973047302212,53.022046073817194,26.65704160651004,15.256839754327192,9.479803249366523,1.0,8074,7960,1.014321608040201
waray,experimental_stage2,Waray - Experimental Stage 2,28.20325112960417,0.5379106904109799,61.73355994247614,35.682513205448984,22.68882623534649,14.894971355824316,0.9601565742316033,7649,7960,0.9609296482412061
